romExtensionlessFileName,romFileName,romSize,romHashCRC,romHashMD5,romHashSHA1
"Adventures of Bayou Billy, The (USA)","Adventures of Bayou Billy, The (USA).nes",262144,67751094,1C23920F24486210043C074C0150FF6F,7356DD9D129EC32F5DBCBA5C9832E0494995398C
"Adventures of Bayou Billy, The (Europe)","Adventures of Bayou Billy, The (Europe).nes",262144,BC9BFFCB,D7B3A23B7960A818E123D89662DB0EDF,7C0FDAA6273EEF35EF0C085A892DF8D2D7183288
"Adventures of Dino Riki (USA)","Adventures of Dino Riki (USA).nes",65536,9BDE3267,C3263D7DE9FD9AA6BDC416526399314E,A042A3BD69C2EA5B944DDA26EA5F47321B175EB5
"Adventures of Dr. Franken, The (USA) (Proto)","Adventures of Dr. Franken, The (USA) (Proto).nes",131072,3B0F4DB2,8D0B1DE993D1EA08B27068223B63FBBA,2185DC04B9967A14008BAEBEFA58F06BBCF844A3
"Adventures of Gilligan's Island, The (USA)","Adventures of Gilligan's Island, The (USA).nes",131072,55773880,F1B2B46F62705A96409E0754F5A309B9,493CAEBAF648DCE5F585BECE276C73B7015E77CE
"Adventures of Lolo (Europe)","Adventures of Lolo (Europe).nes",65536,DF4EDC13,1B2BBED010919EEC3D0F43CE8B3D7047,B7404CF9222D6608DEC17AECC51AB5C0E480DF3C
"Adventures of Lolo (USA)","Adventures of Lolo (USA).nes",65536,71BF075F,BD377B49DCC269C6270EC0EA6336BAF5,ADFE24B8CFB6411DDEA238058D027EC0458FA3C4
"Adventures of Lolo (Japan)","Adventures of Lolo (Japan).nes",65536,297198B9,2827084CB9BE9F464DC2A589D2DAF236,C0AEC26DC3132A60E9E45C3FFAAE49B7906BC517
"Adventures of Lolo 2 (Europe)","Adventures of Lolo 2 (Europe).nes",65536,853FEEA4,3841351EAA62547C757E5FCE1CD0E67F,BEA81444E93255CC1F38D166DA1FBA9B642CA6C2
"Adventures of Lolo 2 (Japan)","Adventures of Lolo 2 (Japan).nes",262144,EAB93CFB,ADC3B395E7613029DB78369693D9B79F,9B8FFA06808FFA07BA1D5F05557860335CADBEBB
"Adventures of Lolo 2 (USA)","Adventures of Lolo 2 (USA).nes",65536,1992D163,6EA5A463D04DDC42E9483DCFEF86B0CF,FD88715A94381179834EEC298F78EC3B51FE43FE
"Adventures of Lolo 3 (USA)","Adventures of Lolo 3 (USA).nes",262144,8DD92725,DC79B80FAD740BAFD7F485DD5D413740,6CBD1B3018588D028F5CD69AEEF791A92BBC6A95
"Adventures of Lolo 3 (Europe)","Adventures of Lolo 3 (Europe).nes",262144,37397194,B34E53A328A30887D82F25BB6A4D3852,73EB2ADA21C1A5A71E54F20DE986C3F41FA69916
"Adventures of Rad Gravity, The (Europe)","Adventures of Rad Gravity, The (Europe).nes",262144,A31142FF,FEB23452635670F3BD163B35C3103499,01B042274AA9164C33769E61E299292875835678
"Adventures of Rad Gravity, The (USA)","Adventures of Rad Gravity, The (USA).nes",262144,D8EE7669,37F89EEE52EC642D38FF0AE3E2979C39,6E85261D5FE8484680DECD2D5EDC319465887D2A
"Adventures of Rocky and Bullwinkle and Friends, The (USA)","Adventures of Rocky and Bullwinkle and Friends, The (USA).nes",262144,227CF577,4D5D47EAD8D560C919640C4FDADADFB5,44FC14813924B380F94367818FE8DCA96DB9EE4B
"Adventures of Tom Sawyer (USA)","Adventures of Tom Sawyer (USA).nes",262144,6E85D8DD,D67839BAA5CE728213B247E03E2D7244,37AA4909803208FB05ED403621EFD25E608D5BA9
"After Burner (USA) (Unl)","After Burner (USA) (Unl).nes",393216,F699EE7E,05A060C597E1E5DC251A4AD309ECED65,56C3D55654D0E837082978505653F6E1E0D52D6F
"After Burner (Japan)","After Burner (Japan).nes",393216,F2CE3641,90569ABF1E02215E77DAEB20CF0B4351,BCD6794579A743211CF96A306EB97E74A0C33EF6
"Ai Sensei no Oshiete - Watashi no Hoshi (Japan)","Ai Sensei no Oshiete - Watashi no Hoshi (Japan).nes",393216,283AD224,B16E9C3BDE321F6807C90B6E559B7FFE,91CECCFCAC90E417E9AEE80E8F7B560A20EB33CC
"Aigina no Yogen - Balubalouk no Densetsu Yori (Japan)","Aigina no Yogen - Balubalouk no Densetsu Yori (Japan).nes",131072,37F59450,5F7CEA5EEA051EAFC515EEAF54033AF6,1BA180792CD1560DBAC295A7A0292B52F458EA0E
"Air Fortress (USA)","Air Fortress (USA).nes",163840,35C41CD4,30A0B2DFBC6018E4ABCC9A89D5107B83,3460727CB7E7EB3886C69E0E75006F7ED0857C4B
"Air Fortress (Europe)","Air Fortress (Europe).nes",163840,A1F90826,A04148430A195947BFFE83BBFD440495,3EA4E4F8996217F1C72FB8CBA58CB438EF16206E
"Air Fortress (Japan)","Air Fortress (Japan).nes",262144,3E785DC3,1D7332A67A6E986DF16E79689965904B,2B52F9485E3D16D3AC107C905BBB8B353D0AD582
"Airball (Unknown) (Proto1)","Airball (Unknown) (Proto1).nes",131072,0143EEB4,41E38A155B9B8A73BF07F9B3428C1580,1D4D87A5FC5396BA64A2DCA70BF69A87F0874CB3
"Airball (Unknown) (Proto2)","Airball (Unknown) (Proto2).nes",131072,240863B9,1C6D4E6C1051580DC836AE6C32E2C5F4,5971206093D76959EFB4EFA9A75186E582AC1453
"Airwolf (Europe)","Airwolf (Europe).nes",163840,4D345422,EE1394599010781A079009090D97FC5C,075C7EE0179B61D5F87B597B1144FB42943587A5
"Airwolf (Japan)","Airwolf (Japan).nes",262144,FB8A9B80,00E273757A917F9155CA6A3E3209F9CA,CA429CF9091FCAA1BDACCE0633C4146B7D33A067
"Airwolf (USA)","Airwolf (USA).nes",163840,489EF6A2,897D8C76DA605D233212D01025B3327E,840447EB95379F31DD4650DDDAE3BF4587108DB2
"Akagawa Jirou no Yuurei Ressha (Japan)","Akagawa Jirou no Yuurei Ressha (Japan).nes",262144,9D976153,710247A45194B8CB4F40F97DB38BA643,05779CC072CAFCECB91BE5C7EEB8FD86519A4A6B
"Akira (Japan)","Akira (Japan).nes",393216,8A7D0ABE,15A6EE7C758E80B0E143F90185FA1B02,6C8AB8187BD71C42CBE8EC84914714F56395A609
"Akuma no Shoutaijou (Japan)","Akuma no Shoutaijou (Japan).nes",262144,1248326D,8C14AD443C7C1FDD47102B65B7AAC36C,52F51AC9BDCC1563B11559A33DF174A2A8DF0D32
"Akuma-kun - Makai no Wana (Japan)","Akuma-kun - Makai no Wana (Japan).nes",262144,2C4421B2,53E7AECF302C3ACBC44601093333EDAE,869C2F50F936C17CB1B13E9016E44E474137A320
"Akumajou Densetsu (Japan)","Akumajou Densetsu (Japan).nes",393216,E349AF38,75DBDF8D0DE9B472EED5065BC0FE4129,BEB7E005BCBAC031CE61613FA47DF24AD151E9AB
"Akumajou Dracula (Japan)","Akumajou Dracula (Japan).nes",131072,A0F99BB8,6AC46A50C86F9CE8C2597F21F68FE972,1C1C8CB0BC821EA9F795B609596280741AB2BC73
"Akumajou Special - Boku Dracula-kun (Japan)","Akumajou Special - Boku Dracula-kun (Japan).nes",262144,C1FBF659,96084E640ED9A02C644B39986C269662,40A9324E9D5FFCF8618C9D95E22424A8EFE60C6E
"Al Unser Jr. Turbo Racing (USA)","Al Unser Jr. Turbo Racing (USA).nes",262144,5BC9D7A1,0C39B1E2114B93821E1081A0B446F401,B72BBF0EE778702BFB56914958F4C8B18B055657
"Aladdin (Europe)","Aladdin (Europe).nes",262144,41D32FD7,0A4152A81309D82A58D8782E41E5D103,F1FFBECBC99558EEF25E8C6DB1EEB9C408E2F33E
"Alfred Chicken (USA)","Alfred Chicken (USA).nes",131072,63E992AC,2EECAE9E49165A67F2015CBE946DCC98,AADCA8DC793CD310FA0D1FE78FF1C8EFD3DDE843
"Alfred Chicken (Europe)","Alfred Chicken (Europe).nes",131072,759418D2,9C2219C6F5A19BE8392C11E98F542AC7,3F32F7FD57790C6DD72BB3FC2727E25E125FFD6E
"Alien 3 (USA)","Alien 3 (USA).nes",262144,C527C297,76E7BC449AE572C68A9FC4F397901924,6E14D69218F890D5B4806E19C599329F1B5079A1
"Alien 3 (Europe)","Alien 3 (Europe).nes",262144,DDC6D9C9,7209EC7A29818E8BD48AD1C5670ACAE8,D12148A39748BDD3685E8D02965393178CDE4F4A
"Alien Syndrome (Japan)","Alien Syndrome (Japan).nes",262144,5B837E8D,E91B3E0AD255EEAE1823D2372A4B21DA,F116EB809C5A46017807335E11DC1D89FFA63E8C
"Alien Syndrome (USA) (Unl)","Alien Syndrome (USA) (Unl).nes",262144,CBF4366F,66F4D31A0A0D66B2A85A88212CE159FE,7955DBE5EC63F71BA591A9237D113AAA90849263
"All-Pro Basketball (USA)","All-Pro Basketball (USA).nes",262144,934DB14A,3A7F356D42EDCE12678BD6459DFF2488,8DD8B4D44297E10FDC814660F9A33EDCDA4B0484
"Alpha Mission (USA)","Alpha Mission (USA).nes",65536,DBF90772,6307B2766D33A38AE68C639019DC8890,52F8113B2D1B3C2F59684425B9956AD790D3EF23
"Alpha Mission (Europe)","Alpha Mission (Europe).nes",65536,976893D2,1DFA56EBC412F33F161D16207CECED06,A24411362F4CBC0077A6A435544AD15736331C81
"Amagon (USA)","Amagon (USA).nes",131072,E2B43A68,D8BD241E27F2C1812751E4E92C7EC68E,69D7C4BAB3B678D7527CE85A5CB29BB36481B924
"America Daitouryou Senkyo (Japan)","America Daitouryou Senkyo (Japan).nes",262144,9273F18E,8C2475C030E5393E94AD5CD7C977CAEC,642A492A15BFDC8E7670140B15CAEAB271EE80C1
"America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan)","America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan).nes",524288,3256114C,4543841AAE7B102FD674EE145102D0EE,D136CF62BD85A58994BD35AA8861C622655B0D8B
"American Dream (Japan)","American Dream (Japan).nes",262144,3FFA5762,5AF06466732727B578043B94376027B2,5CD7C3A0080FE7CCC6AFE70AF85123FF77E89834
"American Gladiators (USA)","American Gladiators (USA).nes",262144,1973AEA8,D696E93CA35B59E2AF943C2A3A526488,EF6E092501D1C60000369E9463524101A450F360
"Ankoku Shinwa - Yamato Takeru Densetsu (Japan)","Ankoku Shinwa - Yamato Takeru Densetsu (Japan).nes",262144,644E312B,53602B8484C73D345D8E2AAA4B607C4D,381131E3E8FBCE9F689FB20A0C006195572D95DA
"Anticipation (Europe)","Anticipation (Europe).nes",65536,8B7D3C75,A51090F9622C4665B82937201C90D261,2D4FC2DDFD935291BF9DACE324037C56FA1198A8
"Anticipation (USA)","Anticipation (USA).nes",65536,99A9F57E,B6D2C6C3196DCA33A689DF4F02C9832E,3954E690CBF5241181DC592F01E87BEFA5531374
"Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)","Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan).nes",786432,6F4E4312,DE9F227AF81E352782032010897CD488,99CF6CA63B173A2B86125F16BBE11885EF1AC377
"Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan)","Aoki Ookami to Shiroki Mejika - Genghis Khan (Japan).nes",262144,FB69743A,434BBD12B02020EAB076EEBD831DBE72,35E34C7F7370A1CCB34014A62AD526BCC5F2B48B
"Arabian Dream Scheherazade (Japan)","Arabian Dream Scheherazade (Japan).nes",262144,074EC424,566C605E1719B1E13D4CF4013DEAE271,1188FB0F9BA9B0EE1DEE8D49941A201AE63F492A
"Arcadia VI (USA) (Proto)","Arcadia VI (USA) (Proto).nes",262144,ADA40FB2,76FA9F32A837FD69A43ABD9DBC216DF6,45C191E9A9DD80377B80BBBBC72959A97E57989E
"Arch Rivals - A Basketbrawl! (USA)","Arch Rivals - A Basketbrawl! (USA).nes",131072,C740EB46,F2B2BE3DFC30EE297FB62EE68FC56893,989C15904EB8F9F6E77AE59300A76FFA935ABF43
"Arch Rivals - A Basketbrawl! (Europe)","Arch Rivals - A Basketbrawl! (Europe).nes",131072,DB9C072D,699C164543D88B317E7FD94B65AE2158,E5A1074A938001D01941B2BDD56F442090A267D1
"Archon (USA)","Archon (USA).nes",131072,F304F1B9,0F3B320959931B549EAB42566AEADB63,4BEFBEB81265AEF234B031AAF86695FD69FD41AC
"Arctic (Japan)","Arctic (Japan).nes",131072,1F74EA6C,1A0259CC0A8ADC82F3E23D1844643111,37D8903AB381090873A6C51C39F6120A7213FB6D
"Argos no Senshi (Japan)","Argos no Senshi (Japan).nes",131072,E1B260DA,98972693BABAD6F93782CFAFFC031C84,F110AE847049723DB4AC9213A8EC5BFD23E644F2
"Argus (Japan)","Argus (Japan).nes",49152,656FA3B5,C9909D0343BDC7221E874A2ABA379DB8,FEBC958C90F10BBE7C095A3842A5BC897EF18A43
"Arkanoid (USA)","Arkanoid (USA).nes",49152,32FB0583,0CCC1A2FE5214354C3FD75A6C81550CC,230FC31D2C2EB20E78711C82574F29F28117EBA3
"Arkanoid (Japan)","Arkanoid (Japan).nes",49152,D89E5A67,A930F9D4C59D8AB1DEE39825DB1F5555,EFA19C34C9DC95F7511AF979CAD72884A6746A3B
"Arkanoid II (Japan)","Arkanoid II (Japan).nes",196608,0F141525,83A6E0D589D5C9490F757B5A115E8C06,627D4F20667EDED6F26A379C8477669348F3ECAB
"Arkanoid II (Japan) (Beta)","Arkanoid II (Japan) (Beta).nes",196608,FC8DEBEF,3B146B9C75EA4CE24887D73C6B2271C2,7F97B267B8E6DBD38488B84A69CB2139859193BC
"Arkista's Ring (USA)","Arkista's Ring (USA).nes",65536,1425D7F4,797383138B0590CE00ED0F6FDEA14053,E94E4C2F38137220BF2622E10BE96477ED67F472
"Armadillo (Japan)","Armadillo (Japan).nes",393216,78B657AC,E96A5BB6910B542B8ADBAEFE25C0AF40,4ADBEB66F76F316FA0F92AF0DAAC017BE2B1576F
"Artelius (Japan)","Artelius (Japan).nes",163840,093E845F,41E5902E4417444F689468EAD4865714,84BEF49E92897D4FCB4CA2C2103B7522D624B304
"Asmik-kun Land (Japan)","Asmik-kun Land (Japan).nes",262144,15141401,EB3A7AA48EF40D8D5EE4E9B74D96B903,071F91507490764E1D0C25AC4EF2FEF84D9C8C29
"ASO - Armored Scrum Object (Japan)","ASO - Armored Scrum Object (Japan).nes",65536,E3E2C3BF,B8029400410A45D0029DB57760A9625F,8CE91505EE9C61D006D77D83F75146012389E62D
"ASO - Armored Scrum Object (Japan) (En) (Beta)","ASO - Armored Scrum Object (Japan) (En) (Beta).nes",65536,E326E0F5,229BBD859E15AD2C0E993D9FDE1F58AF,CC37F837C0AC865F3FF494B474016542534D5BEE
